date,institutions,individuals,foreigners,others,total
2025-11-14,-1605,9900,-5227,-3068,0
2025-11-17,-5014,5906,-1072,180,0
2025-11-18,-37405,16499,18393,2513,0
2025-11-19,10620,-26400,16274,-494,0
2025-11-20,3719,-42375,38653,3,0
2025-11-21,13811,-32371,18805,-245,0
2025-11-24,14924,-6225,-7398,-1301,0
