date,institutions,individuals,foreigners,others,total
2025-11-14,-522325,2681424,-2179054,19955,0
2025-11-17,58456,-611693,581256,-28019,0
2025-11-18,-269404,908964,-640841,1281,0
2025-11-19,71561,766031,-828120,-9472,0
2025-11-20,144241,93269,-226902,-10608,0
2025-11-21,441817,2322048,-2797136,33271,0
2025-11-24,289198,-288527,-24159,23488,0
