date,investor,sell,buy,net
2025-11-14,금융투자,555441,191896,-363545
2025-11-14,보험,7136,12368,5232
2025-11-14,투신,103214,31805,-71409
2025-11-14,사모,136987,88115,-48872
2025-11-14,은행,4126,468,-3658
2025-11-14,기타금융,8710,4664,-4046
2025-11-14,연기금 등,463415,427388,-36027
2025-11-14,기관합계,1279029,756704,-522325
2025-11-14,기타법인,62082,82037,19955
2025-11-14,개인,842782,3524206,2681424
2025-11-14,외국인,3591954,1403686,-2188268
2025-11-14,기타외국인,2527,11741,9214
2025-11-14,전체,5778374,5778374,0
2025-11-17,금융투자,161957,253390,91433
2025-11-17,보험,12125,2788,-9337
2025-11-17,투신,28806,48436,19630
2025-11-17,사모,89072,58833,-30239
2025-11-17,은행,173,9,-164
2025-11-17,기타금융,30,786,756
2025-11-17,연기금 등,468738,455115,-13623
2025-11-17,기관합계,760901,819357,58456
2025-11-17,기타법인,49469,21450,-28019
2025-11-17,개인,1659126,1047433,-611693
2025-11-17,외국인,1997693,2575627,577934
2025-11-17,기타외국인,3758,7080,3322
2025-11-17,전체,4470947,4470947,0
2025-11-18,금융투자,290066,139475,-150591
2025-11-18,보험,2913,9470,6557
2025-11-18,투신,62649,63866,1217
2025-11-18,사모,149384,19349,-130035
2025-11-18,은행,3560,4346,786
2025-11-18,기타금융,1297,2603,1306
2025-11-18,연기금 등,466065,467421,1356
2025-11-18,기관합계,975934,706530,-269404
2025-11-18,기타법인,57810,59091,1281
2025-11-18,개인,988155,1897119,908964
2025-11-18,외국인,1520704,877542,-643162
2025-11-18,기타외국인,1788,4109,2321
2025-11-18,전체,3544391,3544391,0
2025-11-19,금융투자,281170,308596,27426
2025-11-19,보험,12254,12117,-137
2025-11-19,투신,25183,63841,38658
2025-11-19,사모,59469,85301,25832
2025-11-19,은행,105,30,-75
2025-11-19,기타금융,5973,1220,-4753
2025-11-19,연기금 등,535212,519822,-15390
2025-11-19,기관합계,919366,990927,71561
2025-11-19,기타법인,66997,57525,-9472
2025-11-19,개인,1133625,1899656,766031
2025-11-19,외국인,2402985,1571683,-831302
2025-11-19,기타외국인,6763,9945,3182
2025-11-19,전체,4529736,4529736,0
2025-11-20,금융투자,192094,440153,248059
2025-11-20,보험,10081,7940,-2141
2025-11-20,투신,56459,40826,-15633
2025-11-20,사모,100029,39596,-60433
2025-11-20,은행,8,2206,2198
2025-11-20,기타금융,152,420,268
2025-11-20,연기금 등,569025,540948,-28077
2025-11-20,기관합계,927848,1072089,144241
2025-11-20,기타법인,98600,87992,-10608
2025-11-20,개인,1466104,1559373,93269
2025-11-20,외국인,2174313,1948317,-225996
2025-11-20,기타외국인,3372,2466,-906
2025-11-20,전체,4670237,4670237,0
2025-11-21,금융투자,251057,459093,208036
2025-11-21,보험,5128,15602,10474
2025-11-21,투신,78521,37301,-41220
2025-11-21,사모,83690,303008,219318
2025-11-21,은행,2965,4208,1243
2025-11-21,기타금융,4346,750,-3596
2025-11-21,연기금 등,566052,613614,47562
2025-11-21,기관합계,991759,1433576,441817
2025-11-21,기타법인,50971,84242,33271
2025-11-21,개인,1080757,3402805,2322048
2025-11-21,외국인,4520494,1717470,-2803024
2025-11-21,기타외국인,2731,8619,5888
2025-11-21,전체,6646712,6646712,0
2025-11-24,금융투자,123003,411719,288716
2025-11-24,보험,6026,4747,-1279
2025-11-24,투신,76436,42330,-34106
2025-11-24,사모,42320,48600,6280
2025-11-24,은행,111,125,14
2025-11-24,기타금융,222,242,20
2025-11-24,연기금 등,754531,784084,29553
2025-11-24,기관합계,1002649,1291847,289198
2025-11-24,기타법인,29080,52568,23488
2025-11-24,개인,1410674,1122147,-288527
2025-11-24,외국인,2923318,2900049,-23269
2025-11-24,기타외국인,3005,2115,-890
2025-11-24,전체,5368726,5368726,0
