date,investor,sell,buy,net
2025-11-03,기타금융,6714,12780,6066
2025-11-03,연기금 등,5029132,5597583,568451
2025-11-03,기관합계,6896317,9179650,2283333
2025-11-03,기타법인,316539,416852,100313
2025-11-03,개인,10231237,10419784,188547
2025-11-03,외국인,12637312,10053392,-2583920
2025-11-03,기타외국인,28661,40388,11727
2025-11-03,전체,30110066,30110066,0
2025-11-04,금융투자,1900147,1497027,-403120
2025-11-04,보험,146855,145816,-1039
2025-11-04,투신,368637,376973,8336
2025-11-04,사모,419986,182035,-237951
2025-11-04,은행,37298,1352,-35946
2025-11-04,기타금융,21056,1106,-19950
2025-11-04,연기금 등,6680091,6638652,-41439
2025-11-04,기관합계,9574070,8842961,-731109
2025-11-04,기타법인,864218,485762,-378456
2025-11-04,개인,8066501,14669033,6602532
2025-11-04,외국인,11923346,6417982,-5505364
2025-11-04,기타외국인,22146,34543,12397
2025-11-04,전체,30450281,30450281,0
2025-11-05,금융투자,3463461,2307388,-1156073
2025-11-05,보험,55079,88461,33382
2025-11-05,투신,246100,570331,324231
2025-11-05,사모,839827,515341,-324486
2025-11-05,은행,13391,46313,32922
2025-11-05,기타금융,15780,11705,-4075
2025-11-05,연기금 등,7125199,7149447,24248
2025-11-05,기관합계,11758837,10688986,-1069851
2025-11-05,기타법인,1032995,573754,-459241
2025-11-05,개인,16455502,19617346,3161844
2025-11-05,외국인,15538569,13916457,-1622112
2025-11-05,기타외국인,57117,46477,-10640
2025-11-05,전체,44843020,44843020,0
2025-11-06,금융투자,1138053,1917955,779902
2025-11-06,보험,63028,177528,114500
2025-11-06,투신,452682,720751,268069
2025-11-06,사모,144203,651772,507569
2025-11-06,은행,40018,67224,27206
2025-11-06,기타금융,40422,12313,-28109
2025-11-06,연기금 등,4324527,4399547,75020
2025-11-06,기관합계,6202933,7947090,1744157
2025-11-06,기타법인,113978,340246,226268
2025-11-06,개인,6967669,12195993,5228324
2025-11-06,외국인,15362576,8142712,-7219864
2025-11-06,기타외국인,8533,29648,21115
2025-11-06,전체,28655689,28655689,0
2025-11-07,금융투자,1711581,1022520,-689061
2025-11-07,보험,164315,109946,-54369
2025-11-07,투신,335022,269258,-65764
2025-11-07,사모,998453,256129,-742324
2025-11-07,은행,30939,20946,-9993
2025-11-07,기타금융,5452,38289,32837
2025-11-07,연기금 등,4307164,4002659,-304505
2025-11-07,기관합계,7552926,5719747,-1833179
2025-11-07,기타법인,302833,209404,-93429
2025-11-07,개인,8666061,7995648,-670413
2025-11-07,외국인,6362200,8939190,2576990
2025-11-07,기타외국인,24063,44094,20031
2025-11-07,전체,22908083,22908083,0
2025-11-10,금융투자,925754,1494437,568683
2025-11-10,보험,99903,59931,-39972
2025-11-10,투신,230221,442946,212725
2025-11-10,사모,70396,570658,500262
2025-11-10,은행,6264,51933,45669
2025-11-10,기타금융,3132,8395,5263
2025-11-10,연기금 등,3812575,3657157,-155418
2025-11-10,기관합계,5148245,6285457,1137212
2025-11-10,기타법인,238888,315902,77014
2025-11-10,개인,7882186,5964728,-1917458
2025-11-10,외국인,10562759,11255199,692440
2025-11-10,기타외국인,10249,21041,10792
2025-11-10,전체,23842327,23842327,0
2025-11-11,금융투자,1266498,2211162,944664
2025-11-11,보험,176700,199971,23271
2025-11-11,투신,158136,286387,128251
2025-11-11,사모,54811,272316,217505
2025-11-11,은행,50891,13433,-37458
2025-11-11,기타금융,837,30738,29901
2025-11-11,연기금 등,5210836,5297912,87076
2025-11-11,기관합계,6918709,8311919,1393210
2025-11-11,기타법인,399860,342615,-57245
2025-11-11,개인,11474354,7898841,-3575513
2025-11-11,외국인,8925236,11138748,2213512
2025-11-11,기타외국인,24383,50419,26036
2025-11-11,전체,27742542,27742542,0
2025-11-12,금융투자,539844,2641504,2101660
2025-11-12,보험,135649,73864,-61785
2025-11-12,투신,270579,264954,-5625
2025-11-12,사모,206227,428629,222402
2025-11-12,은행,2890,13196,10306
2025-11-12,기타금융,1208,1081,-127
2025-11-12,연기금 등,4017796,3676922,-340874
2025-11-12,기관합계,5174193,7100150,1925957
2025-11-12,기타법인,115472,272431,156959
2025-11-12,개인,3355168,5599092,2243924
2025-11-12,외국인,10764656,6427262,-4337394
2025-11-12,기타외국인,4008,14562,10554
2025-11-12,전체,19413497,19413497,0
2025-11-13,금융투자,6370352,2591048,-3779304
2025-11-13,보험,109472,78157,-31315
2025-11-13,투신,303825,187132,-116693
2025-11-13,사모,416409,288042,-128367
2025-11-13,은행,115,653,538
2025-11-13,기타금융,2452,5271,2819
2025-11-13,연기금 등,3489764,3453451,-36313
2025-11-13,기관합계,10692389,6603754,-4088635
2025-11-13,기타법인,138726,122534,-16192
2025-11-13,개인,4069723,6291944,2222221
2025-11-13,외국인,5904480,7803727,1899247
2025-11-13,기타외국인,33423,16782,-16641
2025-11-13,전체,20838741,20838741,0
2025-11-14,금융투자,2862222,535078,-2327144
2025-11-14,보험,64842,52846,-11996
2025-11-14,투신,425953,218024,-207929
2025-11-14,사모,457084,74070,-383014
2025-11-14,은행,16314,1562,-14752
2025-11-14,기타금융,38061,35703,-2358
2025-11-14,연기금 등,3539398,3189655,-349743
2025-11-14,기관합계,7403874,4106938,-3296936
2025-11-14,기타법인,118140,361021,242881
2025-11-14,개인,3225814,12224955,8999141
2025-11-14,외국인,11054369,5074257,-5980112
2025-11-14,기타외국인,4145,39171,35026
2025-11-14,전체,21806342,21806342,0
2025-11-17,금융투자,961717,1088842,127125
2025-11-17,보험,73904,27332,-46572
2025-11-17,투신,133184,336443,203259
2025-11-17,사모,225478,449463,223985
2025-11-17,은행,40,29,-11
2025-11-17,기타금융,19446,1810,-17636
